Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
105, 647,A, 19,R,    1, 1.50, 1.50,   173.80,
105, 647,A, 19,R,    2, 1.50, 1.50,   175.30,
105, 647,A, 19,R,    3, 1.50, 1.50,   176.80,
105, 647,A, 19,R,    4, 1.50, 1.50,   178.30,
105, 647,A, 19,R,    5, 1.50, 1.50,   179.80,"IW AT 140-150 CM"
105, 647,A, 19,R,    6, 1.35, 1.35,   181.30,
105, 647,A, 20,R,    1, 1.50, 1.50,   183.50,
105, 647,A, 20,R,    2, 1.50, 1.50,   185.00,
105, 647,A, 20,R,    3, 1.50, 1.50,   186.50,
105, 647,A, 20,R,    4, 1.50, 1.50,   188.00,"OG 120-150 CM"
105, 647,A, 20,R,    5, 1.50, 1.50,   189.50,
105, 647,A, 20,R,    6, 0.49, 0.49,   191.00,
105, 647,A, 21,R,    1, 1.50, 1.50,   193.10,
105, 647,A, 21,R,    2, 1.50, 1.50,   194.60,
105, 647,A, 21,R,    3, 1.50, 1.50,   196.10,
105, 647,A, 21,R,    4, 1.10, 1.10,   197.60,"GAS SAMPLE TAKEN AT 30 CM"
105, 647,A, 22,R,    1, 0.16, 0.16,   202.70,
105, 647,A, 23,R,    1, 1.50, 1.50,   212.30,"(DB) VOID 60-80CM"
105, 647,A, 23,R,    2, 1.50, 1.50,   213.80,"I.W. TAKEN FROM 140-150 CM"
105, 647,A, 23,R,    3, 1.50, 1.50,   215.30,"(DB) VOID 27-37CM"
105, 647,A, 23,R,    4, 1.50, 1.50,   216.80,"VOIDS FROM 10-38 CM AND 128-150 CM"
105, 647,A, 23,R,    5, 1.50, 1.50,   218.30,"VOID FROM 116-150 CM"
105, 647,A, 23,R,    6, 1.50, 1.50,   219.80,
105, 647,A, 23,R,    7, 0.52, 0.52,   221.30,
105, 647,A, 24,R,    1, 1.50, 1.50,   221.90,"GAS SAMPLE TAKEN AT 148CM"
105, 647,A, 24,R,    2, 1.50, 1.50,   223.40,
105, 647,A, 24,R,    3, 1.50, 1.50,   224.90,"O.G. TAKEN FROM 120-150 CM"
105, 647,A, 24,R,    4, 1.10, 1.10,   226.40,
105, 647,A, 25,R,    1, 1.50, 1.50,   231.50,
105, 647,A, 25,R,    2, 1.50, 1.50,   233.00,
105, 647,A, 25,R,    3, 1.50, 1.50,   234.50,
105, 647,A, 25,R,    4, 1.50, 1.50,   236.00,
105, 647,A, 25,R,    5, 1.50, 1.50,   237.50,
105, 647,A, 25,R,    6, 1.05, 1.05,   239.00,
105, 647,A, 25,R,CC(6), 0.09, 0.09,   240.05,
105, 647,A, 26,R,    1, 1.23, 1.23,   241.10,
105, 647,A, 27,R,    1, 1.50, 1.50,   250.40,
105, 647,A, 27,R,    2, 1.50, 1.50,   251.90,"VOID FROM 48-150 CM"
105, 647,A, 27,R,    3, 1.50, 1.50,   253.40,"SECTION TOTALLY VOID"
105, 647,A, 27,R,    4, 1.50, 1.50,   254.90,"SECTION TOTALLY VOID"
105, 647,A, 27,R,    5, 1.50, 1.50,   256.40,"I.W. SAMPLE TAKEN FROM 140-150 CM"
105, 647,A, 27,R,    6, 1.50, 1.50,   257.90,"(DB) VOID 100-150CM"
105, 647,A, 27,R,    7, 0.64, 0.22,   259.40,"(DB) CHANGED CL FROM 64 CM"
105, 647,A, 28,R,    1, 1.50, 1.50,   260.10,
105, 647,A, 28,R,    2, 1.50, 1.50,   261.60,
105, 647,A, 28,R,    3, 1.50, 1.50,   263.10,
105, 647,A, 28,R,    4, 1.50, 1.50,   264.60,"(DB) VOID 130-150CM"
105, 647,A, 28,R,    5, 1.50, 1.50,   266.10,"O.G. FROM 120-150 CM INTERVAL."
105, 647,A, 28,R,    6, 1.50, 1.50,   267.60,"(DB) VOID 25-150CM"
105, 647,A, 28,R,    7, 0.63, 0.63,   269.10,
105, 647,A, 28,R,CC(7), 0.08, 0.08,   269.73,
105, 647,A, 29,R,    1, 1.50, 1.50,   269.70,"GAS SAMPLE AT 74 CM."
105, 647,A, 29,R,    2, 1.50, 1.50,   271.20,"(DB) VOID 0-80CM"
105, 647,A, 29,R,    3, 1.50, 1.50,   272.70,
105, 647,A, 29,R,    4, 1.50, 1.50,   274.20,"(DB) VOID 35-80, 105-135CM"
105, 647,A, 29,R,    5, 1.50, 1.50,   275.70,"(DB) VOID 50-75CM"
105, 647,A, 29,R,    6, 1.50, 1.50,   277.20,"(DB) VOID 0-115CM"
105, 647,A, 30,R,    1, 1.50, 1.50,   279.40,
105, 647,A, 30,R,    2, 1.50, 1.50,   280.90,
105, 647,A, 30,R,    3, 1.50, 1.50,   282.40,
105, 647,A, 30,R,    4, 1.50, 1.50,   283.90,
105, 647,A, 30,R,    5, 1.50, 1.50,   285.40,"I.W. FROM 140-150 CM INTERVAL."
105, 647,A, 30,R,    6, 1.50, 1.50,   286.90,
105, 647,A, 30,R,    7, 0.64, 0.64,   288.40,
105, 647,A, 30,R,CC(7), 0.08, 0.08,   289.04,
105, 647,A, 31,R,    1, 1.50, 1.50,   289.00,"GAS SAMPLE AT 56 CM"
105, 647,A, 31,R,    2, 1.21, 1.21,   290.50,
105, 647,A, 31,R,CC(2), 0.07, 0.07,   291.71,
105, 647,A, 32,R,    1, 1.50, 1.50,   298.60,
105, 647,A, 32,R,    2, 0.54, 0.54,   300.10,
105, 647,A, 33,R,    1, 1.50, 1.50,   308.30,
105, 647,A, 33,R,    2, 0.86, 0.86,   309.80,
105, 647,A, 34,R,    1, 1.46, 1.46,   318.00,
105, 647,A, 35,R,    1, 1.50, 1.50,   327.60,
105, 647,A, 35,R,    2, 1.50, 1.50,   329.10,"(DB) OG: 120-150CM, MOVED FROM SECT.1"
105, 647,A, 35,R,    3, 1.50, 1.50,   330.60,
105, 647,A, 35,R,    4, 0.60, 0.60,   332.10,
105, 647,A, 36,R,    1, 1.50, 1.50,   337.20,
105, 647,A, 36,R,    2, 1.50, 1.50,   338.70,
105, 647,A, 36,R,    3, 1.50, 1.50,   340.20,"GAS TAKEN AT 143 CM; I.W. FROM 140-150 CM"
105, 647,A, 36,R,    4, 1.50, 1.50,   341.70,
105, 647,A, 37,R,    1, 1.50, 1.50,   346.70,
105, 647,A, 37,R,    2, 1.50, 1.50,   348.20,
105, 647,A, 37,R,    3, 1.50, 1.50,   349.70,
105, 647,A, 37,R,    4, 1.13, 1.13,   351.20,"GAS SAMPLE AT 20 CM."
105, 647,A, 38,R,    1, 1.50, 1.50,   356.40,
105, 647,A, 38,R,    2, 1.50, 1.50,   357.90,
105, 647,A, 38,R,    3, 1.50, 1.50,   359.40,
105, 647,A, 38,R,    4, 1.50, 1.50,   360.90,
105, 647,A, 38,R,    5, 1.50, 1.50,   362.40,"(DB) OG: 120-150CM"
105, 647,A, 38,R,    6, 1.50, 1.50,   363.90,
105, 647,A, 38,R,    7, 0.60, 0.60,   365.40,
105, 647,A, 38,R,CC(7), 0.14, 0.14,   366.00,
105, 647,A, 39,R,    1, 1.50, 1.50,   366.10,
105, 647,A, 39,R,    2, 1.50, 1.50,   367.60,"GAS SAMPLE AT 53 CM. I.W. FROM 140-150 CM"
105, 647,A, 39,R,    3, 1.12, 1.12,   369.10,
105, 647,A, 40,R,    1, 0.25, 0.25,   375.70,
105, 647,A, 41,R,    1, 1.50, 1.50,   385.40,
105, 647,A, 41,R,    2, 1.50, 1.50,   386.90,
105, 647,A, 41,R,    3, 1.50, 1.50,   388.40,"GAS SAMPLE AT 74 CM."
105, 647,A, 41,R,    4, 1.50, 1.50,   389.90,
105, 647,A, 41,R,    5, 1.50, 1.50,   391.40,"O.G. FROM 120-150 CM INTERVAL."
105, 647,A, 41,R,    6, 1.43, 1.43,   392.90,
105, 647,A, 42,R,    1, 1.50, 1.50,   395.10,
105, 647,A, 42,R,    2, 1.50, 1.50,   396.60,"GAS SAMPLE AT 115 CM."
105, 647,A, 42,R,    3, 1.50, 1.50,   398.10,
105, 647,A, 42,R,    4, 1.50, 1.50,   399.60,
105, 647,A, 42,R,    5, 1.50, 1.50,   401.10,"I.W. SAMPLE FROM 140-150 CM INTERVAL."
105, 647,A, 42,R,    6, 1.50, 1.50,   402.60,
105, 647,A, 42,R,    7, 0.63, 0.63,   404.10,
105, 647,A, 43,R,    1, 1.50, 1.50,   404.80,
105, 647,A, 43,R,    2, 1.50, 1.50,   406.30,
105, 647,A, 43,R,    3, 1.50, 1.50,   407.80,
105, 647,A, 43,R,    4, 1.50, 1.50,   409.30,
105, 647,A, 43,R,    5, 1.50, 1.50,   410.80,
105, 647,A, 43,R,    6, 1.50, 1.50,   412.30,"GAS SAMPLE AT 78 CM"
105, 647,A, 43,R,    7, 0.43, 0.43,   413.80,
105, 647,A, 44,R,    1, 1.50, 1.50,   414.50,
105, 647,A, 44,R,    2, 1.50, 1.50,   416.00,
105, 647,A, 44,R,    3, 1.50, 1.50,   417.50,
105, 647,A, 44,R,    4, 1.50, 1.50,   419.00,
105, 647,A, 44,R,    5, 1.50, 1.50,   420.50,"OG 120-150 CM"
105, 647,A, 44,R,    6, 1.48, 1.48,   422.00,
105, 647,A, 45,R,    1, 1.50, 1.50,   424.10,
105, 647,A, 45,R,    2, 0.55, 0.55,   425.60,
105, 647,A, 45,R,    3, 0.83, 0.83,   426.15,
105, 647,A, 45,R,    4, 0.62, 0.62,   426.98,"I.W. TAKEN FROM 52-62 CM"
105, 647,A, 45,R,    5, 0.98, 0.98,   427.60,
105, 647,A, 46,R,    1, 1.50, 1.50,   433.80,
105, 647,A, 46,R,    2, 1.50, 1.50,   435.30,
105, 647,A, 46,R,    3, 1.50, 1.50,   436.80,"(DB) VOID 80-150CM"
105, 647,A, 46,R,    4, 1.50, 1.50,   438.30,
105, 647,A, 46,R,    5, 1.50, 1.50,   439.80,
105, 647,A, 46,R,    6, 1.50, 1.50,   441.30,
105, 647,A, 46,R,    7, 0.67, 0.67,   442.80,
105, 647,A, 47,R,    1, 1.50, 1.50,   443.50,"(DB) VOID 50-150 CM, MOVED FROM 98-150 CM"
105, 647,A, 47,R,    2, 1.50, 1.50,   445.00,"VOID FROM 1-66 CM"
105, 647,A, 47,R,    3, 1.50, 1.50,   446.50,
105, 647,A, 47,R,    4, 1.50, 1.50,   448.00,
105, 647,A, 47,R,    5, 1.50, 1.50,   449.50,"O.G. SAMPLE TAKEN FROM 120-150 CM"
105, 647,A, 47,R,    6, 1.50, 1.50,   451.00,"GAS SAMPLE TAKEN AT 132 CM"
105, 647,A, 47,R,    7, 0.29, 0.29,   452.50,
105, 647,A, 48,R,    1, 1.50, 1.50,   453.20,
105, 647,A, 48,R,    2, 1.50, 1.50,   454.70,
105, 647,A, 48,R,    3, 1.50, 1.50,   456.20,
105, 647,A, 48,R,    4, 1.50, 1.50,   457.70,
105, 647,A, 48,R,    5, 1.50, 1.50,   459.20,"I.W. TAKEN FROM 140-150 CM"
105, 647,A, 48,R,    6, 1.50, 1.50,   460.70,"VOID FROM 26-150 CM"
105, 647,A, 48,R,    7, 0.67, 0.67,   462.20,"VOID FROM 1-44 CM"
105, 647,A, 49,R,    1, 1.50, 1.50,   462.80,
105, 647,A, 49,R,    2, 1.50, 1.50,   464.30,"GAS SAMPLE TAKEN AT 68 CM"
105, 647,A, 49,R,    3, 1.50, 1.50,   465.80,
105, 647,A, 49,R,    4, 1.50, 1.50,   467.30,
105, 647,A, 49,R,    5, 1.50, 1.50,   468.80,
105, 647,A, 49,R,    6, 1.50, 1.50,   470.30,
105, 647,A, 49,R,    7, 0.55, 0.55,   471.80,
105, 647,A, 50,R,    1, 1.50, 1.50,   472.50,
105, 647,A, 50,R,    2, 1.50, 1.50,   474.00,"GAS SAMPLE TAKEN AT 89 CM"
105, 647,A, 50,R,    3, 1.50, 1.50,   475.50,
105, 647,A, 50,R,    4, 1.50, 1.50,   477.00,
105, 647,A, 50,R,    5, 1.50, 1.50,   478.50,"O.G. TAKEN FROM 120-150 CM"
105, 647,A, 50,R,    6, 1.50, 1.50,   480.00,"20"
105, 647,A, 50,R,    7, 0.20, 0.20,   481.50,
105, 647,A, 51,R,    1, 1.50, 1.50,   482.10,"GAS SAMPLE TAKEN AT 140 CM."
105, 647,A, 51,R,    2, 1.50, 1.50,   483.60,
105, 647,A, 51,R,    3, 1.50, 1.50,   485.10,
105, 647,A, 51,R,    4, 1.50, 1.50,   486.60,
105, 647,A, 51,R,    5, 1.50, 1.50,   488.10,"I.W. SAMPLE TAKEN FROM 140-150 CM INTERVAL."
105, 647,A, 51,R,    6, 1.40, 1.40,   489.60,
105, 647,A, 52,R,    1, 1.50, 1.50,   491.80,"(DB) VOID 40-150CM"
105, 647,A, 52,R,    2, 1.50, 1.50,   493.30,"GAS SAMPLE AT 11 CM."
105, 647,A, 52,R,    3, 1.50, 1.50,   494.80,
105, 647,A, 52,R,    4, 1.50, 1.50,   496.30,
105, 647,A, 52,R,    5, 1.50, 1.50,   497.80,
105, 647,A, 52,R,    6, 1.50, 1.50,   499.30,
105, 647,A, 52,R,    7, 0.52, 0.52,   500.80,
105, 647,A, 53,R,    1, 1.50, 1.50,   501.40,
105, 647,A, 53,R,    2, 1.50, 1.50,   502.90,
105, 647,A, 53,R,    3, 1.50, 1.50,   504.40,
105, 647,A, 53,R,    4, 1.50, 1.50,   505.90,
105, 647,A, 53,R,    5, 1.50, 1.50,   507.40,"O.G. TAKEN FROM 120-150 CM INTERVAL."
105, 647,A, 53,R,    6, 1.50, 1.50,   508.90,"GAS SAMPLE TAKEN AT 17 CM. (DB) VOID 45-150CM"
105, 647,A, 53,R,    7, 0.67, 0.67,   510.40,
105, 647,A, 54,R,    1, 1.50, 1.50,   511.10,
105, 647,A, 54,R,    2, 1.50, 1.50,   512.60,
105, 647,A, 54,R,    3, 1.50, 1.50,   514.10,
105, 647,A, 54,R,    4, 1.50, 1.50,   515.60,"I.W. FROM 140-150 CM INTERVAL."
105, 647,A, 54,R,    5, 1.50, 1.50,   517.10,
105, 647,A, 54,R,    6, 0.55, 0.55,   518.60,
105, 647,A, 55,R,    1, 1.50, 1.50,   520.70,"25-150 CM, VOID"
105, 647,A, 55,R,    2, 1.50, 1.50,   522.20,"TOTALLY VOID"
105, 647,A, 55,R,    3, 1.50, 1.50,   523.70,"TOTALLY VOID"
105, 647,A, 55,R,    4, 1.50, 1.50,   525.20,"TOTALLY VOID"
105, 647,A, 55,R,    5, 1.50, 1.50,   526.70,"TOTALLY VOID"
105, 647,A, 55,R,    6, 1.50, 1.50,   528.20,"TOTALLY VOID"
105, 647,A, 55,R,    7, 0.70, 0.70,   529.70,"0-42 CM, VOID"
105, 647,A, 56,R,    1, 0.16, 0.16,   530.30,
105, 647,A, 58,R,    1, 0.16, 0.16,   549.70,
105, 647,A, 59,R,    1, 0.45, 0.45,   559.40,
105, 647,A, 60,R,    1, 1.50, 1.50,   569.10,"VOID FROM 20-150 CM"
105, 647,A, 60,R,    2, 1.50, 1.50,   570.60,"SECTION TOTALLY VOID"
105, 647,A, 60,R,    3, 1.50, 1.50,   572.10,"106-150 CM IS SLURRY FILLED; THE REST IS VOID"
105, 647,A, 60,R,    4, 1.50, 1.50,   573.60,"85-150 CM IS SLURRY; THE REST IS VOID"
105, 647,A, 60,R,    5, 1.50, 1.50,   575.10,"SECTION TOTALLY VOID"
105, 647,A, 60,R,    6, 1.50, 1.50,   576.60,"SECTION TOTALLY VOID"
105, 647,A, 60,R,    7, 0.56, 0.56,   578.10,
105, 647,A, 60,R,CC(7), 0.10, 0.10,   578.66,
105, 647,A, 61,R,    1, 0.63, 0.63,   578.80,
105, 647,A, 62,R,    1, 1.50, 1.50,   598.10,
105, 647,A, 62,R,    2, 1.50, 1.50,   599.60,
105, 647,A, 62,R,    3, 1.50, 1.50,   601.10,
105, 647,A, 62,R,    4, 1.50, 1.50,   602.60,
105, 647,A, 62,R,    5, 1.50, 1.50,   604.10,"O.G. SAMPLE FROM 120-150 CM. GAS FROM 55 CM."
105, 647,A, 62,R,    6, 0.62, 0.62,   605.60,
105, 647,A, 63,R,    1, 1.50, 1.50,   607.80,"GAS SAMPLE AT 61 CM."
105, 647,A, 63,R,    2, 0.99, 0.99,   609.30,
105, 647,A, 64,R,    1, 1.50, 1.50,   617.50,
105, 647,A, 64,R,    2, 1.50, 1.50,   619.00,"I.W. FROM END OF SECTION.(DB) IW 140-150CM"
105, 647,A, 64,R,    3, 1.47, 1.47,   620.50,
105, 647,A, 65,R,    1, 1.50, 1.50,   627.20,
105, 647,A, 65,R,    2, 1.50, 1.50,   628.70,"OG AT 120-150 CM"
105, 647,A, 65,R,    3, 1.38, 1.38,   630.20,
105, 647,A, 66,R,    1, 1.50, 1.50,   636.80,
105, 647,A, 66,R,    2, 1.50, 1.50,   638.30,"(DB) OG: 120-150CM"
105, 647,A, 66,R,    3, 0.85, 0.85,   639.80,
105, 647,A, 67,R,    1, 1.50, 1.50,   646.50,
105, 647,A, 67,R,    2, 1.50, 1.50,   648.00,"IW 140-150 CM"
105, 647,A, 67,R,    3, 1.50, 1.50,   649.50,"GAS SAMPLE AT 28 CM"
105, 647,A, 67,R,    4, 0.45, 0.45,   651.00,
105, 647,A, 68,R,    1, 1.50, 1.50,   656.20,
105, 647,A, 68,R,    2, 1.50, 1.50,   657.70,
105, 647,A, 68,R,    3, 1.50, 1.50,   659.20,
105, 647,A, 68,R,    4, 1.44, 1.44,   660.70,
105, 647,A, 69,R,    1, 0.20, 0.20,   665.90,
105, 647,A, 69,R,CC(1), 0.19, 0.19,   666.10,
105, 647,A, 70,R,    1, 1.50, 1.50,   685.20,
105, 647,A, 70,R,    2, 1.50, 1.50,   686.70,
105, 647,A, 70,R,    3, 1.50, 1.50,   688.20,"O.G FROM 120-150 CM."
105, 647,A, 70,R,    4, 0.55, 0.55,   689.70,
105, 647,A, 70,R,CC(4), 0.20, 0.20,   690.25,
105, 647,A, 71,R,    1, 1.50, 1.50,   694.80,
105, 647,A, 71,R,    2, 0.75, 1.50,   696.30,"CLAY - BASALT BOUNDARY AT 75 CM"
105, 647,A, 71,R,    3, 1.39, 1.13,   697.80,"(DB) CHANGED CL FROM 139 CM"
105, 647,A, 71,R,   CC, 0.26, 0.26,   698.93,
105, 647,A, 72,R,    1, 1.40, 1.50,   704.50,
105, 647,A, 72,R,    2, 1.53, 0.75,   706.00,"C.L. FOR SECTION 2 WAS IN FACT 75 CM LONG"
105, 647,A, 72,R,    3, 0.75, 1.05,   706.75,
105, 647,A, 72,R,    4, 0.27, 1.49,   707.80,
105, 647,A, 72,R,    5, 0.46, 0.00,         ,
105, 647,A, 73,R,    1, 1.12, 1.12,   714.00,"BASALT"
105, 647,A, 73,R,    2, 1.04, 1.04,   715.12,"BASALT"
105, 647,A, 73,R,    3, 1.40, 1.50,   716.16,"BASALT"
105, 647,A, 73,R,    4, 0.99, 1.06,   717.66,"BASALT"
105, 647,A, 73,R,    5, 1.12, 1.13,   718.72,"BASALT"
105, 647,A, 73,R,    6, 0.75, 1.49,   719.85,"BASALT"
105, 647,A, 73,R,    7, 1.13, 1.13,   721.34,"BASALT, ONE CONT. PIECE OF 171 CM (IN LINER)"
105, 647,A, 73,R,    8, 1.35, 1.36,   722.47,"SEDIMENT"
105, 647,A, 73,R,CC(8), 0.11, 0.11,   723.83,"SEDIMENT- SO CURATED SEPARATELY"
105, 647,A, 74,R,    1, 0.88, 1.50,   723.50,"BASALT. 57 CM VOID AT END OF SECTION."
105, 647,A, 74,R,    2, 1.38, 1.49,   725.00,"BASALT"
105, 647,A, 74,R,    3, 1.42, 1.50,   726.49,"BASALT"
105, 647,A, 74,R,    4, 1.27, 1.49,   727.99,"BASALT"
105, 647,A, 74,R,    5, 1.30, 1.32,   729.48,"BASALT"
105, 647,A, 74,R,    6, 1.47, 1.50,   730.80,"BASALT"
105, 647,A, 74,R,    7, 1.50, 1.50,   732.30,"BASALT CHANGES TO SEDIMENT. 17CM VOID AT END."
105, 647,A, 74,R,    8, 0.42, 0.79,   733.80,"SEDIMENT"
105, 647,A, 74,R,    9, 0.00, 0.44,   734.59,"CURATION PROCESS ADDED SECTION 9."
105, 647,A, 75,R,    1, 1.50, 1.50,   733.00,"CUTTINGS."
105, 647,A, 75,R,    2, 1.50, 1.50,   734.50,"CUTTINGS"
105, 647,A, 75,R,    3, 0.21, 0.21,   736.00,"CUTTINGS"
105, 647,A, 75,R,    4, 1.24, 1.30,   736.21,"BASALT."
105, 647,A, 75,R,   CC, 0.18, 0.18,   737.51,
105, 647,B,  1,H,    1, 1.50, 1.50,     0.00,
105, 647,B,  1,H,    2, 1.50, 1.50,     1.50,
105, 647,B,  1,H,    3, 1.50, 1.50,     3.00,
105, 647,B,  1,H,    4, 1.50, 1.50,     4.50,
105, 647,B,  1,H,    5, 0.68, 0.68,     6.00,
105, 647,B,  1,H,CC(5), 0.13, 0.13,     6.68,
105, 647,B,  2,H,    1, 1.50, 1.50,     6.80,
105, 647,B,  2,H,    2, 1.50, 1.50,     8.30,
105, 647,B,  2,H,    3, 1.50, 1.50,     9.80,"PP SAMPLE 5 CM 145-150 CM (DB) Y ADDED"
105, 647,B,  2,H,    4, 1.50, 1.50,    11.30,
105, 647,B,  2,H,    5, 1.50, 1.50,    12.80,
105, 647,B,  2,H,    6, 1.50, 1.50,    14.30,
105, 647,B,  2,H,    7, 0.92, 0.92,    15.80,
